noc_code,Occupation Name (Unit Group),Skill Type,Major Group,Minor Group,Skill Level,Total Employed (Canada 2015),Median Income (Canada 2015),Average Income (Canada 2015),Total Employed (Ontario 2015),Median Income (Ontario 2015),Average Income (Ontario 2015),Average Income Difference,Average Income Canadian Ratio,Future Labour Market Conditions (National 2013-2026)
1214,"Supervisors, mail and message distribution occupations","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,121 Administrative services supervisors,B,8555,54753,52400,2525,61594,58612,6212,0.11854961832061069,NA
1215,"Supervisors, supply chain, tracking and scheduling co-ordination occupations","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,121 Administrative services supervisors,B,47850,50574,56197,18995,51092,55737,-460,-0.00818549032866523,NA
1221,Administrative officers,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,277085,44263,49409,106520,44822,49217,-192,-0.003885931712845838,Balance
1222,Executive assistants,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,46745,55265,61139,18790,58317,63962,2823,0.04617347356024796,Balance
1223,Human resources and recruitment officers,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,32535,49443,55336,13565,48733,55785,449,0.008114066791961833,Balance
1224,Property administrators,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,43925,38806,49467,18520,39957,52863,3396,0.06865182849172176,Balance
1225,Purchasing agents and officers,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,47075,57739,67187,16000,56288,61637,-5550,-0.08260526589965321,Balance
1226,Conference and event planners,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,25205,34043,37648,11585,34341,38585,937,0.024888440288992775,Surplus
1227,Court officers and justices of the peace,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,4775,54088,59605,2025,63805,67929,8324,0.13965271369851523,Balance
1228,"Employment insurance, immigration, border services and revenue officers","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,122 Administrative and regulatory occupations,B,32670,57181,59510,12610,62310,64249,4739,0.07963367501260292,NA
1241,Administrative assistants,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"124 Office administrative assistants - general, legal and medical",B,261215,36220,36644,81315,37016,37503,859,0.023441763999563367,Balance
1242,Legal administrative assistants,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"124 Office administrative assistants - general, legal and medical",B,40455,44276,44295,16690,45989,45154,859,0.019392707980584716,Balance
1243,Medical administrative assistants,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"124 Office administrative assistants - general, legal and medical",B,56240,35696,35121,20570,38287,37201,2080,0.0592238262008485,Balance
1251,"Court reporters, medical transcriptionists and related occupations","1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"125 Court reporters, transcriptionists, records management technicians and statistical officers",B,10815,31372,31996,4195,26714,29692,-2304,-0.07200900112514064,NA
1252,Health information management occupations,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"125 Court reporters, transcriptionists, records management technicians and statistical officers",B,5415,53303,55601,1770,56590,61219,5618,0.10104134817719106,NA
1253,Records management technicians,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"125 Court reporters, transcriptionists, records management technicians and statistical officers",B,7580,47378,47302,1910,48972,48922,1620,0.03424802333939368,NA
1254,Statistical officers and related research support occupations,"1 Business, finance and administration occupations",12 Administrative and financial supervisors and administrative occupations,"125 Court reporters, transcriptionists, records management technicians and statistical officers",B,4805,51319,52998,2810,53368,52880,-118,-0.002226499113174082,NA
1311,Accounting technicians and bookkeepers,"1 Business, finance and administration occupations","13 Finance, insurance and related business administrative occupations","131 Finance, insurance and related business administrative occupations",B,137815,31721,38504,48110,31023,39341,837,0.021738001246623728,Balance
1312,Insurance adjusters and claims examiners,"1 Business, finance and administration occupations","13 Finance, insurance and related business administrative occupations","131 Finance, insurance and related business administrative occupations",B,28790,58144,61025,12090,58329,62288,1263,0.020696435886931586,Balance
1313,Insurance underwriters,"1 Business, finance and administration occupations","13 Finance, insurance and related business administrative occupations","131 Finance, insurance and related business administrative occupations",B,15195,56777,64249,7670,59066,69029,4780,0.0743980451057604,NA
1314,"Assessors, valuators and appraisers","1 Business, finance and administration occupations","13 Finance, insurance and related business administrative occupations","131 Finance, insurance and related business administrative occupations",B,11555,55410,60945,3755,58817,66161,5216,0.08558536385265403,NA
1315,"Customs, ship and other brokers","1 Business, finance and administration occupations","13 Finance, insurance and related business administrative occupations","131 Finance, insurance and related business administrative occupations",B,4165,45501,52614,1965,43593,49689,-2925,-0.0555935682517961,NA
1411,General office support workers,"1 Business, finance and administration occupations",14 Office support occupations,141 General office workers,C,253475,33293,34335,103035,32067,33990,-345,-0.010048055919615552,Balance
1414,Receptionists,"1 Business, finance and administration occupations",14 Office support occupations,141 General office workers,C,163495,23760,25309,56755,23363,25109,-200,-0.007902327235370817,Balance
1415,Personnel clerks,"1 Business, finance and administration occupations",14 Office support occupations,141 General office workers,C,12585,44728,47177,5100,45047,47652,475,0.010068465565847765,Balance
1416,Court clerks,"1 Business, finance and administration occupations",14 Office support occupations,141 General office workers,C,3000,46283,44271,1220,46711,44313,42,9.487023107677713e-4,NA
1422,Data entry clerks,"1 Business, finance and administration occupations",14 Office support occupations,142 Office equipment operators,C,39530,29993,31556,16915,28478,30525,-1031,-0.032672075041196603,Surplus
1423,Desktop publishing operators and related occupations,"1 Business, finance and administration occupations",14 Office support occupations,142 Office equipment operators,C,1735,44620,49819,625,48093,45899,-3920,-0.07868483911760574,NA
1431,Accounting and related clerks,"1 Business, finance and administration occupations",14 Office support occupations,"143 Financial, insurance and related administrative support workers",C,152020,38981,41465,58820,40234,42946,1481,0.03571686964910165,Balance
1432,Payroll administrators,"1 Business, finance and administration occupations",14 Office support occupations,"143 Financial, insurance and related administrative support workers",C,35725,49001,49832,13550,50542,51361,1529,0.030683095199871568,Balance
1434,"Banking, insurance and other financial clerks","1 Business, finance and administration occupations",14 Office support occupations,"143 Financial, insurance and related administrative support workers",C,25155,42213,48413,11295,43041,52400,3987,0.08235391320513086,Balance
1435,Collectors,"1 Business, finance and administration occupations",14 Office support occupations,"143 Financial, insurance and related administrative support workers",C,14565,39730,39690,7300,39488,39897,207,0.005215419501133787,NA
1451,Library assistants and clerks,"1 Business, finance and administration occupations",14 Office support occupations,"145 Library, correspondence and other clerks",C,18300,21981,25025,7120,17358,23553,-1472,-0.05882117882117882,NA
1452,"Correspondence, publication and regulatory clerks","1 Business, finance and administration occupations",14 Office support occupations,"145 Library, correspondence and other clerks",C,25290,43439,45171,9510,44702,44130,-1041,-0.023045759447433086,NA
1454,Survey interviewers and statistical clerks,"1 Business, finance and administration occupations",14 Office support occupations,"145 Library, correspondence and other clerks",C,25900,5875,16445,9540,4327,15961,-484,-0.0294314381270903,NA
1511,"Mail, postal and related workers","1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations",151 Mail and message distribution occupations,C,31255,36893,37113,13425,38733,38584,1471,0.03963570716460539,Balance
1512,Letter carriers,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations",151 Mail and message distribution occupations,C,30010,53005,47317,10960,55405,49000,1683,0.035568611704038716,Balance
1513,"Couriers, messengers and door-to-door distributors","1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations",151 Mail and message distribution occupations,C,24110,19238,26641,10045,19918,27468,827,0.03104237828910326,Balance
1521,Shippers and receivers,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations","152 Supply chain logistics, tracking and scheduling co-ordination occupations",C,114255,33767,35294,43905,35726,37204,1910,0.05411684705615685,Balance
1522,Storekeepers and partspersons,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations","152 Supply chain logistics, tracking and scheduling co-ordination occupations",C,44225,41259,43972,11085,38942,40251,-3721,-0.08462203220231056,Balance
1523,Production logistics co-ordinators,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations","152 Supply chain logistics, tracking and scheduling co-ordination occupations",C,26665,51241,58890,10345,52615,57253,-1637,-0.027797588724741043,NA
1524,Purchasing and inventory control workers,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations","152 Supply chain logistics, tracking and scheduling co-ordination occupations",C,31130,37624,39023,13295,38435,39031,8,2.050073033851831e-4,NA
1525,Dispatchers,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations","152 Supply chain logistics, tracking and scheduling co-ordination occupations",C,39045,46731,49684,15315,45153,47687,-1997,-0.040194026245873926,Balance
1526,Transportation route and crew schedulers,"1 Business, finance and administration occupations","15 Distribution, tracking and scheduling co-ordination occupations","152 Supply chain logistics, tracking and scheduling co-ordination occupations",C,6515,49658,53102,2700,47874,50531,-2571,-0.04841625550826711,NA
2111,Physicists and astronomers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,211 Physical science professionals,A,2980,84516,88468,1305,95272,97382,8914,0.1007595966903287,NA
2112,Chemists,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,211 Physical science professionals,A,13515,64197,71128,6455,66105,69382,-1746,-0.02454729501743336,NA
2113,Geoscientists and oceanographers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,211 Physical science professionals,A,11970,88567,130711,2330,79407,135297,4586,0.03508503492437515,NA
2114,Meteorologists and climatologists,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,211 Physical science professionals,A,1155,84309,79896,290,84939,77775,-2121,-0.026547011114448783,NA
2115,Other professional occupations in physical sciences,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,211 Physical science professionals,A,1310,72634,75665,630,74352,74054,-1611,-0.02129121786823498,NA
2121,Biologists and related scientists,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,212 Life science professionals,A,21880,62799,67477,7250,64613,72013,4536,0.067222905582642975,NA
2122,Forestry professionals,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,212 Life science professionals,A,4705,73271,72358,575,72538,72058,-300,-0.004146051576881617,NA
2123,"Agricultural representatives, consultants and specialists",2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,212 Life science professionals,A,7015,54292,56835,1190,43341,47952,-8883,-0.15629453681710215,NA
2131,Civil engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"213 Civil, mechanical, electrical and chemical engineers",A,57880,81247,92555,20775,77976,86603,-5952,-0.06430770892982551,Balance
2132,Mechanical engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"213 Civil, mechanical, electrical and chemical engineers",A,54585,81308,92068,23500,79938,86026,-6042,-0.06562540730764217,Balance
2133,Electrical and electronics engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"213 Civil, mechanical, electrical and chemical engineers",A,46405,89942,97434,20435,89471,94210,-3224,-0.033089065418642365,Balance
2134,Chemical engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,"213 Civil, mechanical, electrical and chemical engineers",A,12420,93444,118009,4315,84479,93941,-24068,-0.20395054614478555,Surplus
2141,Industrial and manufacturing engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,16665,77318,86657,7690,76263,79468,-7189,-0.08295925314746645,Balance
2142,Metallurgical and materials engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,2835,93209,99545,925,92273,94412,-5133,-0.05156461901652519,NA
2143,Mining engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,3670,113551,126190,1120,100927,114506,-11684,-0.09259053807750219,Surplus
2144,Geological engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,2975,88719,109975,680,84189,94665,-15310,-0.13921345760400092,NA
2145,Petroleum engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,8630,140438,175292,335,86255,99050,-76242,-0.4349428382356297,NA
2146,Aerospace engineers,2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,6310,85186,88236,2525,87334,88744,508,0.005757287275035133,Shortage
2147,Computer engineers (except software engineers and designers),2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,23465,87918,92350,11315,91991,96362,4012,0.043443421765024366,Balance
2148,"Other professional engineers, n.e.c.",2 Natural and applied sciences and related occupations,21 Professional occupations in natural and applied sciences,214 Other engineers,A,4980,73018,75073,1670,69759,71369,-3704,-0.04933864372011242,NA
